Nome,Link Detalhes,Link Imagem
Chopp da Esquina,https://comidadibuteco.com.br/buteco/chopp-da-esquina/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152143/choppdaesquina_roledochopp_bh_2025_isaquerodrigues_unibh-8826-scaled.jpg
Companhia do Dino,https://comidadibuteco.com.br/buteco/companhia-do-dino/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050131/companhiadodino_barrigadodinoc_bh_2025_rodneycosta_unibh-7498-scaled.jpg
Conectados Bar,https://comidadibuteco.com.br/buteco/conectados-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152240/conectadosbar_ajoelhouvaiterquerezar_bh_2025_amandacantanhede_unibh-8227-scaled.jpg
COSMOS,https://comidadibuteco.com.br/buteco/cosmos/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050033/cosmos_meteoroexplosaodesabores_bh_2025_rodneycosta_unibh-7483-scaled.jpg
Deck Boi na Brasa,https://comidadibuteco.com.br/buteco/deck-boi-na-brasa/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152342/deckboinabrasa_tulipadochefe_bh_2025_isaquerodrigues_unibh-9360-scaled.jpg
Dona Dora,https://comidadibuteco.com.br/buteco/dona-dora/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152435/donadora_boleco_bolodecuteco_bh_2025_rodneycosta_unibh-8708-scaled.jpg
Dona Ju Gastro Bar,https://comidadibuteco.com.br/buteco/dona-ju-gastro-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152529/donajugastro_ju-elho_bh_2025_rodneycosta_unibh-7719-scaled.jpg
Dona Suica,https://comidadibuteco.com.br/buteco/3157-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045850/donasuica_pratodacasa_bh_2025_mylenaizis_unibh-9180-scaled.jpg
Ember BBQ,https://comidadibuteco.com.br/buteco/ember-bbq/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045825/embeer_cupimsertanejo_bh_2025_isaquerodrigues_unibh-7851-scaled.jpg
Espetinho do Boi,https://comidadibuteco.com.br/buteco/espetinho-do-boi/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152726/espetinhodoboi_brigadeirodoboi_bh_2025_rodneycosta_unibh-8501-scaled.jpg
Espetinhos do Paulão,https://comidadibuteco.com.br/buteco/espetinhos-do-paulao/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19152839/espetinhodopaulao_vacafaladeira_bh_2025_rodneycosta_unibh-8425-scaled.jpg
Espettinho.com,https://comidadibuteco.com.br/buteco/espetinho-com/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153114/espettinhocom_mineirimgratinado_bh_2025_rodneycosta_unibh-9129-scaled.jpg
Fogão de Minas,https://comidadibuteco.com.br/buteco/fogao-de-minas/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153205/fogaodeminas_tropadeelite_bh_2025_rodneycosta_unibh-8509-scaled.jpg
Garagge Vintage,https://comidadibuteco.com.br/buteco/garagge-vintage/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153255/garaggevintage_baotambem_bh_2025_amandacantanhede_unibh-8958-scaled.jpg
Geraldin da Cida,https://comidadibuteco.com.br/buteco/geraldin-da-cida/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153406/geraldimdacida_soumineirouai_bh_2025_rodneycosta_unibh-8364-scaled.jpg
Golden Grill,https://comidadibuteco.com.br/buteco/golden-grill/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045801/goldengrill_costelaodosdeuses_bh_2025_rodneycosta_unibh-8167-scaled.jpg
Iracema Bar,https://comidadibuteco.com.br/buteco/iracema-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153541/iracema_harumakidecarnedepanela_bh_2025_fernandaoliveira_unibh-8240-scaled.jpg
Ivo Grill,https://comidadibuteco.com.br/buteco/ivo-grill/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045738/ivogrill_kafajeste_bh_2025_mylenaizis_unibh-9216-scaled.jpg
Já To Inno,https://comidadibuteco.com.br/buteco/3165-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045650/jatoinno_moderacao_bh_2025_fernandaoliveira_unibh-8097-scaled.jpg
Juzé Bar,https://comidadibuteco.com.br/buteco/juze-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153752/juze_abacaxedanoburacoquente_bh_2025_isaquerodrigues_unibh-8653-scaled.jpg
Köbes Emporium Bar,https://comidadibuteco.com.br/buteco/kobes-emporium-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153848/kobes_asasdaimaginacao_bh_2025_isaquerodrigues_unibh-7787-scaled.jpg
Koqueiros Bar,https://comidadibuteco.com.br/buteco/3169-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045716/koqueiros_duvideimasamei_bh_2025_isaquerodrigues_unibh-7679-scaled.jpg
Lá Ele Bar,https://comidadibuteco.com.br/buteco/la-ele-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154054/laele_peitimmoiado_bh_2025_rodneycosta_unibh-9100-scaled.jpg
Leo da Quadra,https://comidadibuteco.com.br/buteco/leo-da-quadra/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154147/leodaquadra_lembeosbeicos_bh_2025_rodneycosta_unibh-7632-scaled.jpg
Locomotiva’s Bar,https://comidadibuteco.com.br/buteco/locomotivas-bar-2/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045235/locomotivasbar_cumpimembreagadoetrouxa_bh_2025_amandacantanhede_unibh-8315-scaled.jpg
Magnífico Quintal,https://comidadibuteco.com.br/buteco/magnifico-quintal/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045339/magnifcoquinta_cocorico_bh_2025_isaquerodrigues_unibh-7756-scaled.jpg
Magrelo’s Bar,https://comidadibuteco.com.br/buteco/magrelos-bar-2/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15045407/magrelos_amigosdopeito_bh_2025_isaquerodrigues_unibh-9303-scaled.jpg
Mamute Bar,https://comidadibuteco.com.br/buteco/mamute-gastrobar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19154240/mamute_ctadeparabens_bh_2025_mylenaizis_unibh-8079-scaled.jpg
